n,sigma_c,c_mod_T,k,label,certifiable
2498526,0.007252659881487489,80.39999999984025,28104.0,run34,1
2498615,0.007249068235978484,80.49999999984024,28105.0,run34,1
2498704,0.007245477056130767,80.59999999984024,28106.0,run34,1
2498793,0.00724188587628305,80.69999999984023,28107.0,run34,1
2498882,0.00723829516209662,80.79999999984022,28108.0,run34,1
2498971,0.00723470444791019,80.89999999984022,28109.0,run34,1
2499060,0.007231114199385047,80.99999999984021,28110.0,run34,1
2499149,0.007227523950859904,81.09999999984021,28111.0,run34,1
2499238,0.007223934633657336,81.1999999998402,28112.0,run34,1
2499327,0.007220344850793481,81.2999999998402,28113.0,run34,1
2499416,0.0072167559992522,81.39999999984019,28114.0,run34,1
2499505,0.007213167147710919,81.49999999984018,28115.0,run34,1
2499594,0.007209578296169639,81.59999999984018,28116.0,run34,1
2499683,0.007205989910289645,81.69999999984017,28117.0,run34,1
2499772,0.007202401990070939,81.79999999984017,28118.0,run34,1
2499861,0.007198814069852233,81.89999999984016,28119.0,run34,1
2499950,0.007195226615294814,81.99999999984016,28120.0,run34,1
2500039,0.007191639626398683,82.09999999984015,28121.0,run34,1
2500128,0.007188052637502551,82.19999999984014,28122.0,run34,1
2500217,0.007184466114267707,82.29999999984014,28123.0,run34,1
2500305,0.00726222456432879,81.39999999984013,28124.0,run34,1
2500394,0.007258634781464934,81.49999999984013,28125.0,run34,1
2500483,0.007255045929923654,81.59999999984012,28126.0,run34,1
2500572,0.0072514566127210855,81.69999999984012,28127.0,run34,1
2500661,0.007247868226841092,81.79999999984011,28128.0,run34,1
2500750,0.007244279840961099,81.8999999998401,28129.0,run34,1
2500839,0.007240691455081105,81.9999999998401,28130.0,run34,1
2500928,0.007237103534862399,82.0999999998401,28131.0,run34,1
2501017,0.00723351608030498,82.19999999984009,28132.0,run34,1
2501106,0.0072299286257475615,82.29999999984008,28133.0,run34,1
2501195,0.00722634163685143,82.39999999984008,28134.0,run34,1
2501284,0.007222755113616586,82.49999999984007,28135.0,run34,1
2501373,0.0072191685903817415,82.59999999984007,28136.0,run34,1
2501462,0.007215582532808185,82.69999999984006,28137.0,run34,1
2501551,0.007211996475234628,82.79999999984005,28138.0,run34,1
2501640,0.007208410883322358,82.89999999984005,28139.0,run34,1
2501729,0.007204825757071376,82.99999999984004,28140.0,run34,1
2501818,0.0072012406308203936,83.09999999984004,28141.0,run34,1
2501907,0.007197655970230699,83.19999999984003,28142.0,run34,1
2501996,0.007194071309641004,83.29999999984003,28143.0,run34,1
2502085,0.007190487114712596,83.39999999984002,28144.0,run34,1
2502174,0.007186903385445476,83.49999999984001,28145.0,run34,1
2502263,0.007183319656178355,83.59999999984001,28146.0,run34,1
2502352,0.007179736392572522,83.69999999984,28147.0,run34,1
2502440,0.007257427787408233,82.79999999984,28148.0,run34,1
2502529,0.0072538412641733885,82.89999999983999,28149.0,run34,1
2502618,0.007250255206599832,82.99999999983999,28150.0,run34,1
2502707,0.007246669614687562,83.09999999983998,28151.0,run34,1
2502796,0.00724308448843658,83.19999999983997,28152.0,run34,1
2502885,0.00723949889652431,83.29999999983997,28153.0,run34,1
2502974,0.007235914235934615,83.39999999983996,28154.0,run34,1
2503063,0.00723232957534492,83.49999999983996,28155.0,run34,1
2503152,0.0072287453804165125,83.59999999983995,28156.0,run34,1
2503241,0.007225161185488105,83.69999999983995,28157.0,run34,1
2503330,0.0072215774562209845,83.79999999983994,28158.0,run34,1
2503419,0.007217994192615151,83.89999999983993,28159.0,run34,1
2503508,0.007214410929009318,83.99999999983993,28160.0,run34,1
2503597,0.007210828131064773,84.09999999983992,28161.0,run34,1
2503686,0.007207245333120227,84.19999999983992,28162.0,run34,1
2503775,0.007203663000836968,84.29999999983991,28163.0,run34,1
2503864,0.007200081134214997,84.3999999998399,28164.0,run34,1
2503953,0.007196499267593026,84.4999999998399,28165.0,run34,1
2504042,0.007192917866632342,84.5999999998399,28166.0,run34,1
2504131,0.0071893364656716585,84.69999999983989,28167.0,run34,1
